Jurassic World, Action, 6.9, America
Train to Busan, Action, 7.6, Korea
Uncharted, Action, 6.3, America
Demon Slayer, Anime, 8.6, Japan
Attack on Titan, Anime, 9.0, Japan
Spy x Family, Anime, 8.4, Japan
Imperfect, Romance, 7.7, Indonesia
Anne with an E, Drama, 8.6, America
Monster Hunter, Fantasy, 5.2, America
Girl From Nowhere, Teen, 7.6, Thailand
Police Story, Classics, 7.5, China
Cigarette Girl, Romance, 8.3, Indonesia
Pride and Prejudice, Drama, 7.8, Europe
Mr. & Mrs. Smith, Action/Comedy, 6.5, Region
John Wick, Action/Thriller, 7.4, Region
Bullet Train, Action/Thriller, 7.3, Region
47 Ronin, Action/Fantasy, 6.2, Region
Snow White and the Huntsman, Action/Fantasy, 6.1, Region
The School for Good and Evil, Fantasy, 5.9, Region
Assassin’s Creed, Action/Adventure, 5.6, Region
Snake Eyes, Action/Adventure, 5.4, Region
Transformers: The Last Knight, Action/Sci-Fi, 5.2, Region
Teenage Mutant Ninja Turtles: Out of the Shadows, Action/Adventure, 5.9, Region
Power Rangers, Action/Adventure, 5.9, Region
Stand by Me Doraemon, Animation, 7.3, Japan
Stand by Me Doraemon 2, Animation, 7.5, Japan
A Silent Voice, Anime, 8.1, Japan
A Whisker Away, Anime, 6.7, Japan
Howl's Moving Castle, Animation, 8.2, Japan
Spirited Away, Animation, 8.6, Japan
Ponyo, Animation, 7.6, Japan
When Marnie Was There, Animation, 7.6, Japan
Oshi No Ko, Anime, 8.5, Japan
Sailor Moon Eternal, Anime, 7.0, Japan
200 Pounds Beauty, Drama, 6.7, South Korea
SpongeBob SquarePants, Animation, 8.2, United States
The SpongeBob : Sponge on the Run, Animation, 5.9, United States
Kung Fu Panda 3, Animation, 7.1, United States
Kung Fu Panda: The Dragon Knight, Animation, 6.0, United States
Madagascar, Animation, 6.9, United States
Shrek, Animation, 7.9, United States
Shrek 2, Animation, 7.3, United States
Shrek the Third, Animation, 6.1, United States
Hotel Transylvania, Animation, 7.0, United States
Hotel Transylvania 2, Animation, 6.6, United States
Hotel Transylvania 3: Summer Vacation, Animation, 6.3, United States
The Secret Life of Pets, Animation, 6.5, United States
The Smurfs, Animation, 6.5, United States
Smurfs: The Lost Village, Animation, 6.0, United States
Sherina’s Adventure, Family, 7.8, Indonesia
Hachi: A Dog's Tale, Drama, 8.1, United States
Barbie: Princess Charm School, Animation, 6.6, United States
Barbie: Life in the Dreamhouse, Animation, 7.5, United States
Barbie: A Touch of Magic, Animation, 7.0, United States
Barbie in a Mermaid Tale, Animation, 6.3, United States
Barbie Spy Squad, Animation, 5.5, United States
Barbie Princess Adventure, Animation, 5.5, United States
The Adventures of Sharkboy and Lavagirl 3-D, Family, 3.7, United States
Spy Kids, Family, 5.6, United States
Miraculous: Ladybug & Cat Noir, the , Animation, 6.1, France
The Swan Princess, Animation, 6.4, United States
How to Train Your Dragon 2, Animation, 7.8, United States
The Lorax, Animation, 6.4, United States
